Date,FCX US Equity,GMEXICOB MM Equity,3993 HK Equity,NEM US Equity,ABX CN Equity,2899 HK Equity,FRES LN Equity,FNV CN Equity,ANTO LN Equity,G CN Equity,NCM AU Equity,AEM CN Equity,FM CN Equity,WPM CN Equity,600547 CH Equity,PE&OLES* MM Equity,PLZL RM Equity,358 HK Equity,RRS LN Equity,TRQ CN Equity,RGLD US Equity,600489 CH Equity,LUN CN Equity,K CN Equity,BUENAVC1 PE Equity,POLY LN Equity,EVN AU Equity,ANG SJ Equity,KL CN Equity,GFI SJ Equity,NST AU Equity,VED LN Equity,YRI CN Equity,BTO CN Equity,VOLCABC1 PE Equity,1818 HK Equity,IMG CN Equity,CEY LN Equity,IGO AU Equity,000587 CH Equity,601069 CH Equity,AGI CN Equity,SGL SJ Equity,OZL AU Equity,DGC CN Equity,HBM CN Equity,002102 CH Equity,002155 CH Equity,KOZAL TI Equity,EDV CN Equity,RRL AU Equity,CG CN Equity,MNG MC Equity,002237 CH Equity,002716 CH Equity,THO CN Equity,SBM AU Equity,OGC CN Equity,CDE US Equity,MINSURI1 PE Equity,HOC LN Equity,HL US Equity,ANTM IJ Equity,OR CN Equity,NG CN Equity,600988 CH Equity,MFRISCOA MM Equity,NGD CN Equity,IMP SJ Equity,PVG CN Equity,SSRM CN Equity,860 HK Equity,SAR AU Equity,246 HK Equity,SFR AU Equity,2303 HK Equity,SMF CN Equity,HAR SJ Equity,TXG CN Equity,SSL CN Equity,ACA LN Equity,ELD CN Equity,RSG AU Equity,GUY CN Equity,HGM LN Equity,SOLG LN Equity,SEA CN Equity,NVO CN Equity,TMR CN Equity,GOR AU Equity,ZIM AU Equity,PSAB IJ Equity,PX PM Equity,PDL CN Equity,ASR CN Equity,600311 CH Equity,SVM CN Equity,ATYM LN Equity,DCN AU Equity,NCZ AU Equity,GSV CN Equity,WGX AU Equity,PG CN Equity,PODERC1 PE Equity,TGZ CN Equity,MLX AU Equity,CS CN Equity,EDR CN Equity,PRU AU Equity,000409 CH Equity,ROXG CN Equity,AR CN Equity,AVZ AU Equity,POG LN Equity,ASO CN Equity,AT PM Equity,TKO CN Equity,AGB CN Equity,GSC CN Equity,EUR FP Equity,GDRZF US Equity,AMI AU Equity,3788 HK Equity,TBR AU Equity,LMI LN Equity,BGM CN Equity,BRIO CN Equity,PAF LN Equity,APX PM Equity,RMS AU Equity,AKG CN Equity,PNR AU Equity,KOR CN Equity,WDO CN Equity,NGQ CN Equity,SLR AU Equity,661 HK Equity,HRT CN Equity,LC PM Equity,GCY AU Equity,3330 HK Equity,HUM LN Equity,WAF AU Equity,ML CN Equity,NUAG CN Equity,CDV AU Equity,VIT CN Equity,DR0 GR Equity,MAX CN Equity,3939 HK Equity,RIOZ ZH Equity,MYA CN Equity,AOT CN Equity,LUM CN Equity,RND AU Equity,ITH CN Equity,CGP CN Equity,LNZL RM Equity,BSX CN Equity,NUS CN Equity,CTGO US Equity,PGM CN Equity,CGH LN Equity,513 HK Equity,MTL LN Equity,TLG AU Equity,TNG AU Equity,ALK AU Equity,CLA AU Equity,DRD SJ Equity,MGG CN Equity,GBU CN Equity,NHK CN Equity,KNT CN Equity,YOJ AU Equity,OKU AU Equity,WILR SP Equity,RUP CN Equity,ARV AU Equity,EGS AU Equity,621 HK Equity,DRM AU Equity,BRZL RM Equity,BTR CN Equity,RZZ CN Equity,BGS AU Equity,JAG CN Equity,MML AU Equity,ALO CN Equity,HZM LN Equity,CNMC SP Equity,PEX AU Equity,MRZ CN Equity,TBP CN Equity,R CN Equity,NM CN Equity,BDR AU Equity,EUR AU Equity,VGZ CN Equity,BBX AU Equity
1994-12-30,,0.2147,,28.4422,17.48211,,,,0.45983,1.08776,3.45729,8.968,0.02098,,,1.28176,,,,,6.6906,,0.58798,14.80129,1.51965,,,,,9.4113,,,,,,,,,,,,,,1.02069,,,,,,12.68031,12.90076,,,,,,5.96908,,161.1897,0.05047,,9.7977,,,1.09197,,,0.29934,1.46329,,2.74627,,0.67673,,,,0.14571,8.65234,4.707,,,2.83461,8.15143,,,,0.07133,,,,,,0.03399,2922.48491,,,0.49755,,,,,0.93913,,,,,3.69993,0.99779,,,24.72645,,,,,0.25531,9.41452,0.18681,8.14731,,8.4531,,,0.12071,28.6174,46.36565,,,0.03055,,,1.50835,,2.37048,4.95704,,13.15177,,0.00485,,,,,,1.86487,,0.19973,,,,,,0.35666,1.59869,,1.73634,,,,41.79824,,,,0.00438,,,0.08638,0.18087,810449.2261,8.94595,,0.22094,0.42632,,,,,0.49219,,,,,,,,,6482.96957,,,,,,,,,,,,18.61018,
1995-01-31,,0.18705,,27.1583,15.6,,,,0.45455,0.99688,2.83009,7.79421,0.02342,,,1.16091,,,,,4.7349,,0.48776,11.6856,1.17548,,,,,7.23718,,,,,,,,,,,,,,0.99609,,3.9614,,,,10.65039,21.59649,,,,,,5.26488,,151.3461,0.0406,,8.4672,,,1.02708,,,0.33815,1.08381,,2.66278,,0.65912,,,,0.10282,7.14464,4.22833,,,2.71974,7.23155,,,,0.07047,,,,,,0.02641,2676.00338,,,0.37134,,,,,0.85595,,,,,3.41579,0.93006,,,31.10133,,,,,0.23858,8.87595,0.19882,6.42065,,5.875,,,0.11043,29.45283,39.05418,,,0.03437,,,0.29797,,1.99264,4.58205,,11.23293,,0.00399,,,,,,2.41426,,0.18462,,,,,,0.32659,1.86395,0.08954,1.60042,,,,49.92995,,,,0.00368,,,0.08838,0.1413,576437.5271,8.53758,,0.20407,,,,,,0.59646,,,,,,,,,6392.9664,,,,,,,,,,,,17.39138,
1995-02-28,,0.16068,,28.6399,16.9593,,,,0.41074,1.0771,2.83921,8.34154,0.02106,,,0.95661,,,,,6.3818,,0.38032,12.32495,1.14858,,,,,7.5991,,,27.52941,,,,,,,,,,,1.03584,,,,,,11.96117,20.83809,,,,,,4.25287,,148.8851,0.03969,,9.072,,,1.03814,,,0.28498,1.17265,,2.97854,,,,,,0.12562,7.12549,3.30062,,,2.43976,6.70811,0.28709,,,0.03547,,,,,,0.02767,2617.78325,,,0.41719,,,,,0.71662,,,,,2.55189,0.94721,,,16.79466,,,,,0.24149,8.23605,0.22882,6.48977,,5.625,,,0.08629,28.3224,20.09617,,,0.03495,,,0.29268,,1.91869,4.70241,,12.62786,,0.00415,,,,,,2.23929,,0.1504,,,,,,0.24402,1.66798,,1.58529,,,,57.19648,,,,0.00382,,,0.08222,0.13088,631583.9406,8.08075,,0.20096,,,,,,0.57418,,,,,,,,,7796.27815,,,,,,,,,,,,16.27885,
1995-03-31,,0.16887,,33.8921,19.40279,,,,0.4538,1.40145,2.95028,10.46136,0.02096,0.4902,,0.97698,,,,,6.6906,,0.81366,16.11059,1.32281,,,,,7.64051,,,24.67445,,,,,,,,,,,0.89457,,4.01249,,,,13.50462,20.73084,,,,,,4.23155,,182.1074,0.0426,,11.1283,,,0.93411,,,0.30021,1.17904,,2.18013,,,,,,0.21554,6.26946,3.71694,,,2.80627,6.09969,0.45032,,,0.05701,,,,,,0.02856,2749.97327,,,0.62341,,,,,0.53376,,,,,1.3455,1.001,,,12.86633,,,,,0.2189,8.57756,0.25025,7.95211,,6.75,,,0.07738,30.08891,17.87502,,,0.02877,,,,,2.26982,10.11204,,10.46723,0.60667,0.00363,,,,,,1.1422,,0.15726,,,,,,0.24948,1.6619,0.03305,1.50975,,,,58.63884,,,,0.0034,,,0.09249,0.16447,418152.5188,8.02194,,0.2002,,,,,,0.76479,,,,,,,,,6916.65042,,,,,,,,,,,,20.55169,
1995-04-28,,0.18901,,33.1984,19.00997,,,,0.44048,2.12421,3.32025,9.99949,0.02169,0.42134,,1.23179,,,,,5.97,,0.65131,17.41296,1.85099,,,,,7.93121,,,30.23138,,,,,,,,,,,1.02181,,,,,,12.22438,23.79824,,,,,,4.15909,,195.9904,0.05702,,10.4025,,,0.92904,,,0.30744,1.20216,,2.83923,,0.52507,,,,0.2582,6.55729,2.21239,,,3.1071,7.4409,0.43921,,,0.07958,,,,,,0.02946,2652.94513,,,0.81446,,,,,0.52918,,,,,1.35732,0.96877,,,9.73451,,,,,0.21094,8.20428,0.28024,7.83555,,7.3594,,,0.09204,32.58821,25.69184,,,0.027,,,,,2.34179,9.33452,,9.26943,0.29499,0.00448,,,,,,1.02767,,0.15487,,,,,,0.29499,1.92689,,1.3167,,,,51.85571,,,,0.00318,,,0.09309,0.14947,414565.9145,8.15923,,0.22124,,,,,,1.43805,,,,,,,,,5975.82888,,,,,,,,,,,,22.14578,
1995-05-31,,0.26542,,33.1933,19.72103,,,,0.43841,2.28697,2.96525,11.23347,0.0282,0.3501,,1.3618,,,,,6.1759,,0.60172,20.63131,2.06625,,,,,7.4318,,,38.49952,,,,,,,,,,,1.00862,,,,,,16.21,22.60532,,,,,,3.89121,,193.5096,0.05822,,10.4025,,,0.92389,,,0.40981,1.19638,,3.35791,,0.61492,,,,0.35503,6.07713,3.7959,,,3.25032,7.08531,0.51316,,,0.07295,,,,,,0.03172,2407.19089,,,1.18807,,,,,0.55137,,,,,1.00766,0.87598,,,11.38769,,,,,0.10625,7.94143,0.22629,6.93481,,7.125,,,0.08387,29.37927,21.16943,,,0.02326,,,,,2.8032,15.39967,,9.06206,0.43799,0.00379,,,,,,1.2252,,0.24803,,,,,,0.32849,1.93884,0.04598,1.31536,,,,47.90758,,,,0.00286,,,0.07192,0.12112,342150.6655,7.54164,,0.21885,,,,,,1.71545,,,,,,,,,5294.20445,,,,,,,,,,,,20.59959,
1995-06-30,,0.29588,,33.2927,19.83353,,,,0.48543,2.24807,3.27719,11.53002,0.04547,0.36645,,1.43584,,,,,6.6906,,0.57219,21.38199,2.09652,,,,,7.96421,,,55.91359,,,,,,,,,,,0.99669,,4.08675,,,,14.94736,22.1201,,,,,,3.31604,,173.6624,0.06336,,10.0397,,,0.98578,,,0.39954,1.31761,,3.4621,,0.45997,,,,0.51755,6.04959,5.8309,,,4.18755,7.1554,0.43586,,,0.21866,,,,,,0.03457,2148.58907,,,1.58873,,,,,0.48749,,,,,0.64026,0.86837,,,8.30904,,,,,0.12659,7.5493,0.23263,7.19752,,6.25,,,0.06906,28.92247,32.79883,,,0.03134,,,,,2.74509,24.42087,,8.62941,0.21809,0.00479,,,,,,1.24946,,0.19679,,,,,,0.36443,,0.0486,1.31421,,,,34.16732,,,,0.00297,,,0.05527,0.11929,202187.7019,6.85649,,0.29089,,,,,,1.82216,,,,,,,,,4407.97829,,,,,,,,,,,,17.92914,
1995-07-31,7.9143,0.29822,,34.0816,19.45794,,,,0.4861,2.18315,3.60772,11.63985,0.05776,0.30278,,1.62013,,,,,6.7935,,0.50202,21.96274,2.12236,,,,,7.96985,,,50.80871,,,,,,,,,,,1.16232,,4.11874,,,,13.96817,21.94077,,,,,,3.33766,,171.1815,0.06749,,9.6768,,,2.18029,,,0.45491,1.44591,,3.43492,,0.52207,,,,0.88861,7.1869,5.11584,,,3.84897,7.1995,0.51467,,,0.27041,,,,,,0.03262,2263.94475,,,1.38063,,,,,0.41741,,,,,0.61142,1.03047,,,9.64701,,,,,0.11486,7.13189,0.27065,6.3948,,5.5,,,0.07149,30.67808,40.9267,,,0.03333,,,,,3.34619,28.1146,,9.70558,0.18351,0.00419,,,,,,1.06218,,0.19018,,,,,,0.32888,,0.03971,1.35071,,,,24.00285,,,,0.00339,,,0.05747,0.11714,280134.6713,6.91235,,0.22858,,,,,,2.11942,,,,,,,,,4773.48967,,,,,,,,,,,,18.75587,
1995-08-31,6.8518,0.3111,,34.6795,19.74721,,,,0.4715,1.97067,3.39287,11.69625,0.04926,0.31909,,1.79532,,,,,6.9993,,0.55519,23.43679,2.10967,,,,,8.21991,,,50.86199,,,,,,,,,,,1.18679,,49.25264,,,,12.40639,22.33591,,,,,,3.54712,,189.7882,0.06988,,11.1283,,,1.88676,,,0.40474,1.33944,,3.57329,,,,,,2.53443,6.88628,4.6155,,,3.35033,8.00779,0.63357,,,0.21589,,,,,,0.03096,2640.83213,,,1.34141,,,,,0.36422,,,,,0.52938,1.1911,,,6.69992,,,,,0.10996,8.56292,0.17103,5.77668,,7.75,,,0.0731,31.0083,32.01072,,,0.02894,,,,,3.40846,25.40453,,7.65366,0.29815,0.00449,,,,,,0.88307,,0.17126,,,,,,0.33542,,0.04681,0.97316,,,,24.43358,,,,0.00325,,,0.08358,0.12673,429595.4945,6.59447,,0.2677,,,,,,1.93553,,,,,,,,,4502.15604,,,,,,,,,,,,22.1966,
1995-09-29,7.5113,0.28442,,33.8823,20.28446,,,,0.50457,1.919,3.51031,11.87238,0.05422,0.20296,,1.80481,,,,,6.9993,,0.51205,24.53498,2.01834,,,,,7.5613,,,53.43207,,,,,,,,,,,1.10458,,31.48004,,,,12.5908,22.22727,,,,,,3.52799,,200.9522,0.0674,,11.7331,,,1.34778,,,0.3674,1.30856,,3.91353,,0.54134,,,,3.00914,7.42513,4.47261,,,2.99793,6.89588,0.58889,,,0.23108,,,,,,0.03012,2122.94939,,,1.79817,,,,,0.33427,,,,,0.4989,0.89452,,,7.1296,,,,,0.23731,8.38613,0.1789,5.96347,,6.375,,,0.08082,32.79391,37.27171,,,0.03269,,,,,3.41304,26.82618,,6.98218,0.37272,0.00411,,,,,,1.03758,,0.164,,,,,,0.30563,,0.04379,0.87366,,,,26.20811,,,,0.00304,,,0.08821,0.11281,430221.727,6.24979,,0.29707,,,,,,1.78159,,,,,,,,,3155.73787,,,,,,,,,,,,22.06763,
1995-10-31,6.7288,0.25276,,30.0955,18.22376,,,,0.45388,1.66394,3.2959,9.5368,0.05215,0.25079,,1.80605,,,,,6.5876,,0.58463,21.31411,2.00415,,,,,6.19971,,,46.41769,,,,,,,,,,,1.11393,,18.86974,,,,13.70382,20.19324,,,,,,3.13612,,167.4602,0.06591,,7.1366,,,0.99526,,,,1.04936,,3.57462,,0.64884,,,,3.29598,6.58322,4.31933,,,2.60282,7.03773,0.55853,,,0.20852,,,,,,0.02769,1823.22475,,,0.77918,,,,,0.33844,,,,,0.34266,1.63837,,,6.70241,,,,,0.22259,7.48995,0.18349,4.74754,,6.1719,,,0.08883,30.76984,29.7885,,,0.03467,,,,,3.07976,26.33813,,6.19411,0.22341,0.00388,,,,,,1.02677,,0.23486,,,,,,0.30803,,,0.90638,,,,20.94619,,,,0.00315,,,0.07201,0.09955,289243.5077,5.14617,,0.30826,,,,,,0.96813,,,,,,,,,2251.91622,,,,,,,,,,,,19.42926,
1995-11-30,8.0228,0.27186,,34.4834,20.64398,,,,0.4102,2.01924,3.61344,10.76848,0.06356,0.28695,,2.09887,,,,,6.4847,,0.43321,23.69079,2.04228,,,,,5.93586,,,44.97905,,,,,,,,,,,1.26028,,14.57875,,,,12.26216,11.12339,,,,,,3.17345,,179.8647,0.06685,,7.0157,,,0.99775,,,0.33264,1.10424,,4.23074,,0.52792,,,,5.00993,6.86057,2.94312,,,2.8182,7.37961,0.55441,,,0.12508,,,,,,0.02677,2058.69531,,,0.74845,,,,,0.33009,,,,,0.36933,0.97575,,,7.53379,,,,,0.21356,6.81801,0.22067,5.24244,,5.625,,,0.11563,31.77162,22.07343,,,0.03058,,,,,2.98849,29.21797,,6.41703,0.11037,0.00339,,,,,,1.02979,,0.27224,,,,,,0.33289,,0.06021,0.86898,,,,17.24581,,,,0.00311,,,0.08263,0.1179,352635.3157,5.11546,,0.30903,,,,,,1.43477,,,,,,,,,2580.13446,,,,,,,,,,,,19.97976,
