S&P GSCI PET MON TOTAL RETURN,,,S&P GSCI GOLD MON TOTAL RETURN,,,,ICE LIBOR USD 3M,,S&P500,,,__&____ __,____,_____,____(%),,____,____,_____,____(%)
12/31/2013,2574.34,,12/31/2013,653.44,,12/31/2013,0.2461,,12/31/2013,1848.36,,8002 JP Equity,13.88T,26.52T,22.49,,MNG MC Equity,1.91T,605.35B,100
11/29/2013,2499.04,,11/29/2013,679.54,,11/29/2013,0.2391,,11/29/2013,1805.81,,FANG US Equity,13.51T,1.35T,99.41,,002237 CH Equity,1.90T,1.66T,57.95
10/31/2013,2512.67,,10/31/2013,719.94,,10/31/2013,0.242,,10/31/2013,1756.54,,EQT US Equity,13.43T,3.51T,87.46,,002716 CH Equity,1.83T,109.54B,7.99
09/30/2013,2552.79,,09/30/2013,721.71,,09/30/2013,0.24885,,09/30/2013,1681.55,,ECA CN Equity,13.29T,3.47T,78.05,,THO CN Equity,1.81T,613.33B,73.98
08/30/2013,2674.48,,08/30/2013,759.27,,08/30/2013,0.2595,,08/30/2013,1632.97,,CVE CN Equity,12.70T,6.65T,43.7,,SBM AU Equity,1.80T,551.52B,100
07/31/2013,2571.89,,07/31/2013,714.05,,07/31/2013,0.2656,,07/31/2013,1685.73,,AKERBP NO Equity,12.33T,2.91T,100,,OGC CN Equity,1.79T,705.91B,83.99
06/28/2013,2392.24,,06/28/2013,666.62,,06/28/2013,0.2731,,06/28/2013,1606.28,,COG US Equity,11.41T,1.98T,100,,CDE US Equity,1.75T,585.42B,73
05/31/2013,2323.09,,05/31/2013,758.82,,05/31/2013,0.27525,,05/31/2013,1630.74,,TRGP US Equity,11.16T,1.52T,15.27,,MINSURI1 PE Equity,1.73T,134.59B,17.72
04/30/2013,2360.36,,04/30/2013,802.67,,04/30/2013,0.2731,,04/30/2013,1597.57,,ANDX US Equity,11.13T,417.02B,11.48,,HOC LN Equity,1.68T,410.93B,51.49
02/28/2013,2479.69,,02/28/2013,861.47,,02/28/2013,0.2871,,02/28/2013,1514.68,,PGN PW Equity,11.00T,925.28B,8.62,,HL US Equity,1.68T,313.52B,45.16
01/31/2013,2593.01,,01/31/2013,907.21,,01/31/2013,0.298,,01/31/2013,1498.11,,MOL HB Equity,10.39T,5.30T,31.32,,ANTM IJ Equity,1.67T,644.81B,60.33
12/31/2012,2452.67,,12/31/2012,915.88,,12/31/2012,0.306,,12/31/2012,1426.19,,XEC US Equity,10.29T,2.12T,97.69,,OR CN Equity,1.67T,185.58B,100
11/30/2012,2430.52,,11/30/2012,935.98,,11/30/2012,0.3105,,11/30/2012,1416.18,,LUPE SS Equity,10.28T,2.21T,100,,NG CN Equity,1.65T,0,
10/31/2012,2375.09,,10/31/2012,940.64,,10/31/2012,0.31275,,10/31/2012,1412.16,,PE US Equity,10.26T,1.07T,100,,600988 CH Equity,1.62T,146.69B,39.79
09/28/2012,2490.92,,09/28/2012,970.54,,09/28/2012,0.3585,,09/28/2012,1440.67,,OSH AU Equity,9.82T,0,0,,MFRISCOA MM Equity,1.57T,600.37B,69.79
08/31/2012,2562.02,,08/31/2012,923.25,,08/31/2012,0.41825,,08/31/2012,1406.58,,5019 JP Equity,8.45T,779.77B,2.31,,NGD CN Equity,1.53T,683.06B,100
07/31/2012,2323.9,,07/31/2012,883.23,,07/31/2012,0.4426,,07/31/2012,1379.32,,RSPP US Equity,8.36T,924.87B,100,,IMP SJ Equity,1.48T,105.33B,3.41
06/29/2012,2205.09,,06/29/2012,880.09,,06/29/2012,0.4606,,06/29/2012,1362.16,,IPL CN Equity,7.68T,626.67B,31.85,,PVG CN Equity,1.41T,201.09B,100
05/31/2012,2255.85,,05/31/2012,858.08,,05/31/2012,0.46685,,05/31/2012,1310.33,,WPX US Equity,7.14T,1.48T,98.13,,SSRM CN Equity,1.32T,405.90B,80.03
04/30/2012,2675.67,,04/30/2012,914.18,,04/30/2012,0.46585,,04/30/2012,1397.91,,EGN US Equity,7.07T,1.12T,100,,860 HK Equity,1.28T,0,0
03/30/2012,2683.91,,03/30/2012,918.34,,03/30/2012,0.46815,,03/30/2012,1408.47,,135 HK Equity,7.02T,251.88B,1.7,,SAR AU Equity,1.25T,363.60B,100
02/29/2012,2728.08,,02/29/2012,941.42,,02/29/2012,0.48425,,02/29/2012,1365.68,,ALFAA MM Equity,6.86T,123.58B,0.68,,246 HK Equity,1.09T,69.21B,100
01/31/2012,2517.97,,01/31/2012,957.36,,01/31/2012,0.54235,,01/31/2012,1312.41,,AR US Equity,6.70T,3.87T,77.23,,SFR AU Equity,1.09T,457.70B,100
12/30/2011,2468.02,,12/30/2011,863.37,,12/30/2011,0.581,,12/30/2011,1257.6,,OGDC PA Equity,6.59T,2.07T,95.54,,2303 HK Equity,1.09T,127.96B,100
