S&P GSCI PET MON TOTAL RETURN,,,S&P GSCI GOLD MON TOTAL RETURN,,,,ICE LIBOR USD 3M,,S&P500,,,__&____ __,____,_____,____(%),,____,____,_____,____(%)
,,,,,,,,,,,,APHE US Equity,77.52B,5.05M,100,,ALAUP FP Equity,24.01B,12.39B,100
,,,,,,,,,,,,OXC CN Equity,77.15B,23.65B,100,,02P GR Equity,23.73B,,
,,,,,,,,,,,,EOG CN Equity,76.86B,0,,,PXX AU Equity,23.58B,23.61M,100
,,,,,,,,,,,,DENR US Equity,76.66B,0,,,SWJ AU Equity,23.48B,0,
,,,,,,,,,,,,GBLF MK Equity,73.99B,39.62M,0.08,,LPK CN Equity,23.35B,,
,,,,,,,,,,,,AMYT LN Equity,72.26B,1.73B,100,,MRP AU Equity,23.09B,,
,,,,,,,,,,,,BXE CN Equity,69.80B,194.14B,100,,TAS AU Equity,22.74B,,
,,,,,,,,,,,,VCLF IN Equity,69.34B,139.16B,6.36,,AAU LN Equity,22.72B,,
,,,,,,,,,,,,VOG LN Equity,68.97B,37.98B,100,,CTM AU Equity,22.61B,,
,,,,,,,,,,,,JONE US Equity,68.65B,288.66B,100,,QTMM US Equity,22.42B,282.32M,100
,,,,,,,,,,,,LKO AU Equity,68.15B,0,,,ECR CN Equity,22.13B,0,
,,,,,,,,,,,,CHAR LN Equity,67.35B,0,,,ELO CN Equity,21.82B,0,
,,,,,,,,,,,,REN SJ Equity,67.03B,139.05M,25.25,,MMY CN Equity,21.72B,17.92B,100
,,,,,,,,,,,,VGAS LN Equity,66.30B,41.89B,100,,KMT CN Equity,21.56B,,
,,,,,,,,,,,,EMR AU Equity,65.98B,217.54M,,,KG CN Equity,21.56B,0,
,,,,,,,,,,,,BOE AU Equity,65.95B,,,,SPA CN Equity,21.47B,0,
,,,,,,,,,,,,ASND CN Equity,64.95B,66.90B,100,,AUR AU Equity,21.46B,,
,,,,,,,,,,,,IBR CN Equity,63.83B,26.48B,100,,LRA CN Equity,21.16B,0,
,,,,,,,,,,,,JKX LN Equity,62.01B,81.26B,94.89,,AAR AU Equity,21.02B,0,
,,,,,,,,,,,,3395 HK Equity,61.61B,14.22B,100,,GWA CN Equity,20.89B,0,
,,,,,,,,,,,,MCEP US Equity,61.34B,66.60B,100,,MCI CN Equity,20.75B,0,
,,,,,,,,,,,,EGY US Equity,61.20B,87.05B,100,,BAR AU Equity,20.65B,47.36M,100
,,,,,,,,,,,,SXT IN Equity,61.18B,,,,AGC CN Equity,20.56B,0,
,,,,,,,,,,,,051780 KS Equity,60.79B,1.58B,10.26,,NJMC US Equity,20.41B,,
,,,,,,,,,,,,EMTC US Equity,58.37B,,,,RVG CN Equity,20.25B,,
,,,,,,,,,,,,JOY CN Equity,56.75B,84.79B,100,,WKM CN Equity,20.15B,,
,,,,,,,,,,,,GSPE US Equity,56.50B,0,,,MMA CN Equity,19.99B,,
,,,,,,,,,,,,4O1 BU Equity,55.63B,11.04B,41.38,,HGM AU Equity,19.74B,0,
,,,,,,,,,,,,AFE CN Equity,53.72B,0,,,CXB CN Equity,19.73B,0,
,,,,,,,,,,,,ENSV US Equity,52.53B,46.06B,100,,MCA AU Equity,19.70B,0,
,,,,,,,,,,,,CDH CN Equity,52.22B,6.39B,95.63,,DTR AU Equity,19.68B,,
,,,,,,,,,,,,STX AU Equity,52.21B,0,,,ADGO US Equity,19.67B,21.06M,100
,,,,,,,,,,,,SR TB Equity,51.37B,16.02B,49.25,,BEW CN Equity,19.46B,0,
,,,,,,,,,,,,ROE CN Equity,51.12B,,,,WPG AU Equity,19.40B,69.98B,100
,,,,,,,,,,,,CERP LN Equity,49.82B,7.12B,100,,ACHR SP Equity,19.18B,0,
,,,,,,,,,,,,SRSP LN Equity,49.49B,0,,,CCZ AU Equity,19.08B,0,
,,,,,,,,,,,,POE CN Equity,48.97B,0,,,NVX CN Equity,18.99B,0,
,,,,,,,,,,,,AMAZ US Equity,48.56B,,,,8028 HK Equity,18.83B,4.85B,50.45
,,,,,,,,,,,,NEGY US Equity,47.27B,0,,,CYP CN Equity,18.59B,0,
,,,,,,,,,,,,OV PM Equity,47.27B,,,,GML AU Equity,18.58B,0,
,,,,,,,,,,,,CAB LN Equity,46.83B,4.22B,100,,GBR AU Equity,18.58B,,
,,,,,,,,,,,,WRES LN Equity,44.92B,219.18M,100,,LODE US Equity,18.36B,117.91M,100
,,,,,,,,,,,,SOG CN Equity,44.48B,29.28B,100,,GDX CN Equity,17.96B,0,
,,,,,,,,,,,,SEY LN Equity,44.20B,5.01B,100,,RPX CN Equity,17.90B,0,
,,,,,,,,,,,,HNR LN Equity,40.32B,,,,AUL AU Equity,17.73B,0,
,,,,,,,,,,,,TOU AU Equity,39.29B,,,,GEO LN Equity,17.70B,,
,,,,,,,,,,,,PRHR US Equity,36.94B,12.55B,100,,MIRL CN Equity,17.50B,33.82B,100
,,,,,,,,,,,,AST LN Equity,36.70B,0,,,GAL CN Equity,17.36B,,
,,,,,,,,,,,,ATU CN Equity,36.20B,14.28B,100,,QMX CN Equity,17.25B,13.25B,100
,,,,,,,,,,,,PMT CN Equity,36.18B,65.72B,100,,MVT CN Equity,16.91B,0,
,,,,,,,,,,,,RRL CN Equity,36.11B,1.63B,100,,MEI AU Equity,16.86B,0,
,,,,,,,,,,,,IFR CN Equity,35.35B,0,,,GOM CN Equity,16.73B,0,
,,,,,,,,,,,,RSRV US Equity,35.30B,7.30B,100,,AZM CN Equity,16.45B,0,
,,,,,,,,,,,,8132 HK Equity,34.41B,,,,HPQ CN Equity,16.40B,0,
,,,,,,,,,,,,EEG AU Equity,34.34B,15.76B,100,,CMC CN Equity,16.38B,0,
,,,,,,,,,,,,EEL SJ Equity,34.09B,,,,MGZ/H CN Equity,16.26B,39.76B,100
,,,,,,,,,,,,IKM CN Equity,33.58B,34.51B,100,,IVS CN Equity,16.20B,0,
,,,,,,,,,,,,MCF CN Equity,33.55B,,,,DSE AU Equity,16.19B,2.21B,100
,,,,,,,,,,,,ZOL LN Equity,33.11B,34.45B,100,,AUC AU Equity,16.14B,2.02M,100
,,,,,,,,,,,,AJQ AU Equity,32.99B,531.38M,100,,NLI AU Equity,15.94B,0,
,,,,,,,,,,,,CAD LN Equity,32.81B,22.84B,100,,REL AU Equity,15.94B,25.58M,
,,,,,,,,,,,,GIVOL IT Equity,32.42B,,,,WDG CN Equity,15.83B,0,
,,,,,,,,,,,,LPHLL IT Equity,32.00B,820.50M,100,,CAS AU Equity,15.72B,0,
,,,,,,,,,,,,ALEN SP Equity,31.82B,,,,CLH CN Equity,15.45B,0,
,,,,,,,,,,,,NGY/H CN Equity,31.75B,0,,,MED CN Equity,15.44B,,
,,,,,,,,,,,,SEN CN Equity,31.69B,7.09B,100,,RDS CN Equity,15.17B,0,
,,,,,,,,,,,,76 HK Equity,31.32B,5.29B,7.29,,FOD AU Equity,14.99B,27.21B,100
,,,,,,,,,,,,TAO CN Equity,30.86B,20.41B,100,,CCW CN Equity,14.68B,0,
,,,,,,,,,,,,YUMA US Equity,30.40B,28.75B,100,,HAW AU Equity,14.53B,0,
,,,,,,,,,,,,JNX CN Equity,29.82B,82.97M,14.73,,COR CN Equity,14.52B,0,
,,,,,,,,,,,,PDR NO Equity,29.60B,0,0,,MCT AU Equity,14.27B,424.50M,100
,,,,,,,,,,,,IOG LN Equity,29.17B,0,,,DRA AU Equity,14.25B,35.74B,100
,,,,,,,,,,,,ITRR SP Equity,29.13B,,,,FTR CN Equity,14.13B,0,
,,,,,,,,,,,,IOX NO Equity,29.06B,17.49B,100,,BDG CN Equity,13.94B,0,
,,,,,,,,,,,,TXP CN Equity,28.77B,20.05B,100,,TRA CN Equity,13.92B,762.67k,100
,,,,,,,,,,,,WCM/A CN Equity,28.64B,,,,YNV CN Equity,13.84B,0,
,,,,,,,,,,,,SPND US Equity,28.33B,5.08B,84.99,,AZM AU Equity,13.80B,0,
,,,,,,,,,,,,ANGS LN Equity,27.43B,,,,NTM AU Equity,13.57B,,
,,,,,,,,,,,,CSMS SP Equity,27.22B,47.14B,74.78,,DNT CN Equity,13.50B,,
,,,,,,,,,,,,APCL NO Equity,26.93B,,,,PAT LN Equity,13.48B,,
,,,,,,,,,,,,MATRA SS Equity,26.19B,,,,VLT AU Equity,13.47B,2.37B,100
,,,,,,,,,,,,CWX SP Equity,25.43B,7.33B,100,,MGU AU Equity,13.34B,,
,,,,,,,,,,,,3GOK GR Equity,25.31B,,,,BN/H CN Equity,13.25B,0,
,,,,,,,,,,,,RRS AU Equity,24.99B,9.62B,100,,FVL CN Equity,13.18B,0,
,,,,,,,,,,,,CE1 AU Equity,24.62B,0,,,ECPN US Equity,13.14B,0,
,,,,,,,,,,,,POND CN Equity,24.50B,1.31B,100,,WWI AU Equity,12.99B,,
,,,,,,,,,,,,AB1 AU Equity,24.50B,5.62B,100,,JG CN Equity,12.93B,,
,,,,,,,,,,,,DOME SS Equity,24.27B,4.99B,100,,AGD CN Equity,12.91B,0,
,,,,,,,,,,,,91 HK Equity,24.22B,,,,KOPY SS Equity,12.88B,,
,,,,,,,,,,,,SWALA TZ Equity,23.39B,,,,GXS CN Equity,12.85B,,
,,,,,,,,,,,,PTRC US Equity,23.01B,30.52M,100,,PUMA CN Equity,12.82B,0,
,,,,,,,,,,,,EDR LN Equity,22.88B,1.50B,100,,NAR CN Equity,12.82B,0,
,,,,,,,,,,,,TAS AU Equity,22.74B,816.03M,100,,KRS LN Equity,12.76B,,
,,,,,,,,,,,,CHX CN Equity,22.37B,0,,,CPV CN Equity,12.63B,,
,,,,,,,,,,,,ROYL US Equity,22.31B,626.36M,100,,PAC CN Equity,12.52B,,
,,,,,,,,,,,,SCZ CN Equity,22.02B,0,0,,RYES US Equity,12.45B,,
,,,,,,,,,,,,BDR CN Equity,21.96B,26.86M,32.86,,BHS CN Equity,12.43B,0,
,,,,,,,,,,,,BOR LN Equity,21.85B,0,,,BD1 AU Equity,12.27B,0,
,,,,,,,,,,,,SOLO LN Equity,21.78B,,,,MXSG US Equity,12.18B,,
,,,,,,,,,,,,BBLS US Equity,21.46B,168.20M,100,,HEG AU Equity,12.10B,0,
,,,,,,,,,,,,MISE SS Equity,21.36B,1.05B,100,,RG CN Equity,11.96B,0,
,,,,,,,,,,,,OYL CN Equity,21.36B,0,,,CCM CN Equity,11.96B,0,
,,,,,,,,,,,,GNF CN Equity,21.18B,33.28B,100,,HRN AU Equity,11.96B,0,
,,,,,,,,,,,,VS CN Equity,20.51B,0,,,GGM CN Equity,11.91B,0,
,,,,,,,,,,,,HME CN Equity,20.40B,4.84B,100,,SGZ LN Equity,11.74B,181.34k,100
,,,,,,,,,,,,PNO CN Equity,20.38B,0,,,ORM CN Equity,11.68B,,
,,,,,,,,,,,,PEEK CN Equity,19.41B,84.29M,100,,PXI CN Equity,11.30B,0,
,,,,,,,,,,,,AIS CN Equity,19.21B,0,,,RCO AU Equity,11.27B,511.11M,100
,,,,,,,,,,,,MDINL IT Equity,18.91B,,,,TEN CN Equity,11.06B,,
,,,,,,,,,,,,GRO CN Equity,18.90B,0,,,CVB CN Equity,11.04B,0,
,,,,,,,,,,,,UEN LN Equity,18.04B,30.78B,100,,LNY AU Equity,11.01B,0,
,,,,,,,,,,,,MEL AU Equity,18.02B,0,,,KOR AU Equity,10.83B,0,
,,,,,,,,,,,,ODY AU Equity,17.78B,0,,,NGE CN Equity,10.82B,41.97M,100
,,,,,,,,,,,,FECOF US Equity,17.59B,0,,,SFM AU Equity,10.78B,,
,,,,,,,,,,,,TVL CN Equity,17.42B,8.44B,100,,AYR AU Equity,10.74B,0,
,,,,,,,,,,,,ZEE CN Equity,17.37B,3.87B,100,,SUP CN Equity,10.74B,0,
,,,,,,,,,,,,PCL AU Equity,17.31B,0,,,GMR AU Equity,10.63B,,
,,,,,,,,,,,,BRN US Equity,16.86B,5.01B,33.88,,AGG CN Equity,10.59B,0,
,,,,,,,,,,,,ESR CN Equity,16.75B,,,,MRO CN Equity,10.49B,232.52M,100
,,,,,,,,,,,,MAH CN Equity,16.72B,566.24M,100,,BFGC US Equity,10.47B,,
,,,,,,,,,,,,HUSA US Equity,16.60B,712.43M,100,,SKP CN Equity,10.36B,0,
,,,,,,,,,,,,MQX CN Equity,16.50B,27.32B,100,,YRB CN Equity,10.35B,2.52B,100
,,,,,,,,,,,,MAY AU Equity,16.44B,0,,,MDI AU Equity,10.33B,12.60M,
,,,,,,,,,,,,IE IT Equity,16.31B,0,,,SAU AU Equity,10.31B,16.24B,100
,,,,,,,,,,,,TAN CN Equity,15.84B,167.55M,100,,RCG CN Equity,10.30B,0,
,,,,,,,,,,,,EOG LN Equity,15.65B,2.26B,100,,CLZ CN Equity,10.29B,0,
,,,,,,,,,,,,HDY LN Equity,15.54B,0,,,MLY CN Equity,10.25B,0,
,,,,,,,,,,,,PCQ CN Equity,15.08B,,,,LAD CN Equity,10.23B,0,
,,,,,,,,,,,,CUV CN Equity,15.03B,2.23B,100,,CRL AU Equity,10.16B,,
,,,,,,,,,,,,SOC PM Equity,15.00B,3.83B,100,,FEL AU Equity,10.07B,0,
,,,,,,,,,,,,ATI CN Equity,14.98B,129.94M,100,,CBK CN Equity,10.00B,,
,,,,,,,,,,,,PQ US Equity,14.54B,122.38B,100,,CY5 AU Equity,9.98B,,
,,,,,,,,,,,,USEG US Equity,14.54B,7.55B,100,,KGD AU Equity,9.89B,0,
,,,,,,,,,,,,CHGZ RM Equity,14.49B,766.90M,100,,CGM CN Equity,9.86B,0,
,,,,,,,,,,,,NRIS US Equity,14.38B,172.15M,100,,XTG CN Equity,9.85B,0,
,,,,,,,,,,,,AAOG LN Equity,14.38B,,,,NZN CN Equity,9.85B,0,
,,,,,,,,,,,,QFY AU Equity,14.16B,0,,,RVY AU Equity,9.77B,,
,,,,,,,,,,,,LOGP LN Equity,13.84B,0,,,RLG CN Equity,9.75B,0,
,,,,,,,,,,,,ICN AU Equity,13.76B,--,,,TWR CN Equity,9.48B,0,
,,,,,,,,,,,,SPI CN Equity,13.44B,280.28M,100,,CTO AU Equity,9.44B,0,
,,,,,,,,,,,,DFS CN Equity,13.37B,0,,,OMI CN Equity,9.40B,50.56B,100
,,,,,,,,,,,,BNG CN Equity,13.34B,8.31B,100,,SAM CN Equity,9.40B,21.45B,100
,,,,,,,,,,,,MYN/GB PZ Equity,13.03B,313.11M,100,,AQI AU Equity,9.35B,,
,,,,,,,,,,,,BEN/H CN Equity,12.75B,8.47M,100,,GGA CN Equity,9.35B,21.19B,100
,,,,,,,,,,,,ZAR CN Equity,12.46B,29.80B,100,,REN CN Equity,9.35B,0,
,,,,,,,,,,,,DWOG US Equity,12.29B,208.07M,100,,AAJ AU Equity,9.28B,309.18M,100
,,,,,,,,,,,,8270 HK Equity,12.26B,23.91B,80.02,,GES AU Equity,9.27B,,
,,,,,,,,,,,,GPX LN Equity,11.93B,,,,GLDN CN Equity,9.26B,,
,,,,,,,,,,,,SALV LN Equity,11.52B,0,,,BOA AU Equity,9.18B,,
,,,,,,,,,,,,BRK AU Equity,11.37B,0,,,VXL CN Equity,9.13B,0,
,,,,,,,,,,,,PTCO US Equity,11.36B,2.85M,100,,PX CN Equity,9.13B,0,
,,,,,,,,,,,,KEY AU Equity,11.28B,33.30M,100,,GLW CN Equity,9.09B,0,
,,,,,,,,,,,,TEN CN Equity,11.06B,0,,,SRI AU Equity,9.02B,0,
,,,,,,,,,,,,PFC CN Equity,10.70B,1.01B,100,,CHZ AU Equity,8.82B,0,
,,,,,,,,,,,,PLX CN Equity,10.67B,1.16B,100,,MRD AU Equity,8.76B,6.02M,100
,,,,,,,,,,,,KAYQUE BD Equity,10.62B,1.38B,97.45,,MAE CN Equity,8.72B,,
,,,,,,,,,,,,KUB CN Equity,10.58B,14.82B,100,,JAX CN Equity,8.72B,0,
,,,,,,,,,,,,MENR SP Equity,10.48B,680.71M,98.49,,MVPI US Equity,8.61B,0,
,,,,,,,,,,,,CQE CN Equity,10.33B,50.38B,100,,CN CN Equity,8.59B,0,
,,,,,,,,,,,,SGC AU Equity,10.31B,0,,,ORX CN Equity,8.37B,,
,,,,,,,,,,,,ADX AU Equity,10.12B,0,,,SOP AU Equity,8.35B,0,
,,,,,,,,,,,,ALV CN Equity,10.03B,627.23M,100,,GBM AU Equity,8.28B,0,
,,,,,,,,,,,,OY CN Equity,9.58B,0,,,ZON CN Equity,8.22B,0,
,,,,,,,,,,,,RHC CN Equity,9.53B,0,,,HMX AU Equity,8.18B,,
,,,,,,,,,,,,CYL CN Equity,9.45B,0,,,CDA CN Equity,8.06B,97.49M,100
,,,,,,,,,,,,MXC US Equity,9.37B,2.90B,100,,ELY CN Equity,8.00B,0,
,,,,,,,,,,,,MMEX US Equity,9.36B,0,,,JADE CN Equity,7.88B,0,
,,,,,,,,,,,,NTOG LN Equity,9.25B,441.49M,100,,RSL CN Equity,7.87B,0,
,,,,,,,,,,,,MOL CN Equity,9.10B,777.39M,100,,PGE CN Equity,7.83B,0,
,,,,,,,,,,,,TGC US Equity,9.04B,5.95B,100,,BAT CN Equity,7.75B,0,
,,,,,,,,,,,,BOIL LN Equity,8.80B,0,,,LEX AU Equity,7.72B,,
,,,,,,,,,,,,TDO AU Equity,8.79B,0,,,SGX CN Equity,7.70B,0,
,,,,,,,,,,,,CJC CN Equity,8.66B,0,,,BUL CN Equity,7.70B,,
,,,,,,,,,,,,BAS AU Equity,8.57B,1.64B,100,,GUN CN Equity,7.69B,0,
,,,,,,,,,,,,SAH CN Equity,8.53B,43.17M,100,,GLB CN Equity,7.64B,0,
,,,,,,,,,,,,SIE CN Equity,8.49B,0,,,AAN CN Equity,7.55B,0,
,,,,,,,,,,,,JPR AU Equity,8.45B,0,,,VVC CN Equity,7.40B,0,
,,,,,,,,,,,,RTN CN Equity,8.37B,34.25M,109.82,,ALTA CN Equity,7.37B,,
,,,,,,,,,,,,NWE AU Equity,8.34B,0,,,FEX CN Equity,7.35B,0,
,,,,,,,,,,,,XCOOQ US Equity,8.12B,320.56B,100,,THMG US Equity,7.35B,0,
,,,,,,,,,,,,OXX AU Equity,8.07B,0,,,DGO AU Equity,7.33B,0,
,,,,,,,,,,,,EVEP US Equity,7.87B,249.83B,98.93,,RDU CN Equity,7.29B,,
,,,,,,,,,,,,ALTA CN Equity,7.37B,0,,,PGC CN Equity,7.28B,2.12M,100
,,,,,,,,,,,,EW CN Equity,7.16B,1.89B,100,,AOU AU Equity,7.26B,0,
,,,,,,,,,,,,REXX US Equity,7.12B,179.85B,90.39,,AXM CN Equity,7.14B,1.14B,100
,,,,,,,,,,,,ABI SS Equity,6.94B,0,,,IHL AU Equity,7.11B,242.41M,100
,,,,,,,,,,,,WOF AU Equity,6.81B,0,,,BDI AU Equity,7.10B,,
,,,,,,,,,,,,SMB CN Equity,6.75B,0,,,SXX AU Equity,7.08B,285.67M,100
,,,,,,,,,,,,MCO CN Equity,6.71B,0,,,PUC CN Equity,7.06B,,
,,,,,,,,,,,,PKPL US Equity,6.63B,0,,,BGH AU Equity,7.05B,0,
,,,,,,,,,,,,XOP CN Equity,6.41B,,,,MUN CN Equity,7.00B,0,
,,,,,,,,,,,,AGZ CN Equity,6.37B,0,,,MAY CN Equity,6.88B,0,
,,,,,,,,,,,,AOW AU Equity,6.36B,,,,HWY CN Equity,6.88B,,
,,,,,,,,,,,,REW CN Equity,6.25B,0,,,GG CN Equity,6.79B,42.15B,100
,,,,,,,,,,,,BEY CN Equity,6.08B,60.37M,100,,MTU CN Equity,6.79B,0,
,,,,,,,,,,,,CTNR US Equity,6.05B,,,,ORM AU Equity,6.66B,0,
,,,,,,,,,,,,NZ CN Equity,5.86B,5.13B,100,,SA CN Equity,6.60B,0,
,,,,,,,,,,,,BKP AU Equity,5.79B,0,,,LIGO SP Equity,6.56B,60.22B,100
,,,,,,,,,,,,PNN CN Equity,5.70B,76.18M,100,,IMR CN Equity,6.51B,0,
,,,,,,,,,,,,DXI CN Equity,5.67B,2.16B,100,,NVO AU Equity,6.48B,,
,,,,,,,,,,,,FSNR US Equity,5.51B,13.61M,100,,CSQ CN Equity,6.47B,,
,,,,,,,,,,,,PCO CN Equity,5.43B,6.50M,100,,ELT AU Equity,6.33B,2.44M,100
,,,,,,,,,,,,EBY CN Equity,5.41B,31.89M,100,,ETMC CN Equity,6.29B,0,
,,,,,,,,,,,,WTXR US Equity,5.39B,11.55M,100,,XAG CN Equity,6.24B,0,
,,,,,,,,,,,,BDCO US Equity,5.39B,292.08B,100,,PDI AU Equity,6.21B,,
,,,,,,,,,,,,GBP AU Equity,5.17B,,,,CGNR LN Equity,6.19B,0,
,,,,,,,,,,,,NKO CN Equity,5.14B,50.96B,100,,HTR CN Equity,6.17B,0,
,,,,,,,,,,,,HE CN Equity,4.90B,2.21B,33.82,,LME CN Equity,6.16B,0,
,,,,,,,,,,,,ATLA DC Equity,4.74B,0,,,UGD CN Equity,6.15B,,
,,,,,,,,,,,,BUY AU Equity,4.70B,2.30B,100,,GMA CN Equity,6.15B,0,
,,,,,,,,,,,,UHO CN Equity,4.60B,0,,,NXM AU Equity,6.12B,181.04M,100
,,,,,,,,,,,,HOC CN Equity,4.56B,1.28B,100,,LCY AU Equity,6.04B,0,0
,,,,,,,,,,,,FPL AU Equity,4.46B,208.20M,100,,HAR CN Equity,6.02B,,
,,,,,,,,,,,,NKW CN Equity,4.35B,0,,,ARCT SS Equity,6.01B,0,
,,,,,,,,,,,,TPD AU Equity,4.19B,90.65M,100,,BRD CN Equity,5.99B,,
,,,,,,,,,,,,SSN AU Equity,4.05B,14.89B,100,,EDG CN Equity,5.95B,0,
,,,,,,,,,,,,JBR CN Equity,4.01B,0,,,ROSE LN Equity,5.93B,1.04B,100
,,,,,,,,,,,,E2E AU Equity,4.01B,5.60B,100,,TETH CN Equity,5.90B,0,
,,,,,,,,,,,,SEI CN Equity,3.90B,0,,,KGM AU Equity,5.88B,11.54M,100
,,,,,,,,,,,,HDY AU Equity,3.84B,0,,,MKR CN Equity,5.88B,0,
,,,,,,,,,,,,BRS CN Equity,3.84B,0,,,DVR CN Equity,5.84B,181.93M,100
,,,,,,,,,,,,SNV CN Equity,3.82B,,,,GRC CN Equity,5.81B,-8.36B,
,,,,,,,,,,,,HKNI US Equity,3.81B,1.04B,100,,ORO CN Equity,5.81B,,
,,,,,,,,,,,,NAUT LN Equity,3.80B,412.78M,100,,EXG CN Equity,5.80B,0,
,,,,,,,,,,,,KLE/H CN Equity,3.68B,0,,,ZMI AU Equity,5.78B,0,
,,,,,,,,,,,,LIO AU Equity,3.64B,1.19B,100,,GED AU Equity,5.76B,,
,,,,,,,,,,,,PET LN Equity,3.52B,--,,,GRL LN Equity,5.73B,,
,,,,,,,,,,,,JEC CN Equity,3.49B,6.33B,100,,AEC CN Equity,5.68B,0,
,,,,,,,,,,,,CQV/H CN Equity,3.49B,0,,,SOC CN Equity,5.67B,0,
,,,,,,,,,,,,SER AU Equity,3.45B,,,,MAD CN Equity,5.58B,0,
,,,,,,,,,,,,CEA CN Equity,3.40B,0,,,WRR CN Equity,5.57B,0,
,,,,,,,,,,,,VRY CN Equity,3.39B,0,,,TTW AU Equity,5.55B,0,
,,,,,,,,,,,,SDR CN Equity,3.31B,29.82M,100,,NIP CN Equity,5.51B,0,
,,,,,,,,,,,,NOL/H CN Equity,3.28B,0,,,OSU CN Equity,5.46B,0,
,,,,,,,,,,,,AVD AU Equity,3.22B,,,,XTM CN Equity,5.41B,194.13M,100
,,,,,,,,,,,,PMA CN Equity,3.21B,0,,,BMK CN Equity,5.30B,0,
,,,,,,,,,,,,SPK CN Equity,3.11B,0,,,TNR CN Equity,5.28B,0,
,,,,,,,,,,,,GRV AU Equity,3.07B,,,,CGM AU Equity,5.28B,0,
,,,,,,,,,,,,TPLM US Equity,3.05B,490.42B,100,,STI LN Equity,5.27B,,
,,,,,,,,,,,,MET CN Equity,2.99B,615.66M,108.59,,GMV CN Equity,5.26B,0,
,,,,,,,,,,,,MTZ CN Equity,2.98B,549.38M,100,,DEC CN Equity,5.26B,0,
,,,,,,,,,,,,GGX AU Equity,2.79B,0,,,CRB AU Equity,5.26B,,
,,,,,,,,,,,,CEI US Equity,2.68B,6.09B,100,,GOT CN Equity,5.13B,,
,,,,,,,,,,,,SARA US Equity,2.66B,55.07B,100,,DAU CN Equity,5.09B,0,
,,,,,,,,,,,,GGE AU Equity,2.52B,2.66B,100,,CGN AU Equity,5.06B,,
,,,,,,,,,,,,MCS CN Equity,2.48B,3.60B,100,,KGL CN Equity,5.00B,0,
,,,,,,,,,,,,AEGG US Equity,2.47B,0,,,SRC CN Equity,4.98B,0,
,,,,,,,,,,,,GTII US Equity,2.38B,,,,SLAU CN Equity,4.97B,0,
,,,,,,,,,,,,SPB AU Equity,2.31B,0,,,GBZ AU Equity,4.97B,79.31M,100
,,,,,,,,,,,,TRB CN Equity,2.28B,740.57M,100,,GPG CN Equity,4.95B,0,
,,,,,,,,,,,,XL CN Equity,2.26B,118.40M,100,,BKC VN Equity,4.86B,6.54B,99.84
,,,,,,,,,,,,KTE AU Equity,2.23B,,,,BZT LN Equity,4.85B,,
,,,,,,,,,,,,VUL CN Equity,2.22B,0,,,GIS CN Equity,4.85B,0,
,,,,,,,,,,,,KFG CN Equity,2.13B,1.58B,100,,AVM LN Equity,4.81B,103.91B,100
,,,,,,,,,,,,TOM LN Equity,2.11B,0,,,CLZ AU Equity,4.79B,0,
,,,,,,,,,,,,ROG AU Equity,2.00B,0,,,TRL AU Equity,4.79B,0,
,,,,,,,,,,,,PGY AU Equity,1.88B,0,,,RBR AU Equity,4.75B,1.13B,100
,,,,,,,,,,,,FPPP US Equity,1.83B,3.43B,100,,PGOL US Equity,4.73B,,
,,,,,,,,,,,,HPL CN Equity,1.75B,0,,,FRN AU Equity,4.73B,0,
,,,,,,,,,,,,LV/H CN Equity,1.69B,2.20M,100,,EU CN Equity,4.69B,,
,,,,,,,,,,,,PDQ CN Equity,1.66B,0,,,TORR CN Equity,4.68B,0,
,,,,,,,,,,,,WCE CN Equity,1.58B,1.28B,100,,RMSL US Equity,4.64B,,
,,,,,,,,,,,,EMPR US Equity,1.58B,0,,,GPM CN Equity,4.64B,0,
,,,,,,,,,,,,KYS/H CN Equity,1.56B,0,,,ALY AU Equity,4.64B,0,
,,,,,,,,,,,,PPE/H CN Equity,1.53B,67.91M,100,,BEX CN Equity,4.58B,,
,,,,,,,,,,,,XBOR US Equity,1.49B,13.00B,100,,LCD AU Equity,4.53B,0,
,,,,,,,,,,,,HAWK LN Equity,1.45B,20.90B,100,,GOG GR Equity,4.50B,,
,,,,,,,,,,,,MOO CN Equity,1.41B,0,,,FRE CN Equity,4.49B,,
,,,,,,,,,,,,CBV CN Equity,1.41B,,,,AUL CN Equity,4.48B,,
,,,,,,,,,,,,MAGP LN Equity,1.37B,,,,PGX CN Equity,4.36B,,
,,,,,,,,,,,,ECCE US Equity,1.36B,,,,MRR AU Equity,4.27B,0,
,,,,,,,,,,,,DDRI US Equity,1.36B,675.57M,100,,OOR CN Equity,4.26B,0,
,,,,,,,,,,,,HEI CN Equity,1.33B,122.42M,100,,PML LN Equity,4.26B,0,
,,,,,,,,,,,,ARET US Equity,1.31B,2.27B,99.84,,LAN CN Equity,4.25B,0,
,,,,,,,,,,,,NXI GR Equity,1.31B,384.98M,100,,BYN CN Equity,4.25B,,
,,,,,,,,,,,,CTI CN Equity,1.29B,0,,,GUL AU Equity,4.20B,,
,,,,,,,,,,,,GXR CN Equity,1.22B,1.42B,100,,ENT AU Equity,4.09B,0,
,,,,,,,,,,,,SBD CN Equity,1.17B,0,,,NZP CN Equity,4.09B,0,
,,,,,,,,,,,,CE CN Equity,1.14B,419.23M,100,,TRS CN Equity,4.05B,0,
